iteration = 1 , objective = -0.273923949729, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 2 , objective = -1.23858614929, inputs = [1.00005, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 3 , objective = -0.0785150418084, inputs = [1.0, 1.00005, 1.0, 1.0], constraints = [-1.0]
iteration = 4 , objective = -0.301081331602, inputs = [1.0, 1.0, 1.00005, 1.0], constraints = [-1.0]
iteration = 5 , objective = -0.131736371765, inputs = [1.0, 1.0, 1.0, 1.00005], constraints = [-1.0]
iteration = 6 , objective = -0.273923949729, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 7 , objective = -1.23858614929, inputs = [1.00005, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 8 , objective = -0.0785150418084, inputs = [1.0, 1.00005, 1.0, 1.0], constraints = [-1.0]
iteration = 9 , objective = -0.301081331602, inputs = [1.0, 1.0, 1.00005, 1.0], constraints = [-1.0]
iteration = 10 , objective = -0.131736371765, inputs = [1.0, 1.0, 1.0, 1.00005], constraints = [-1.0]
iteration = 11 , objective = -0.273923949729, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 12 , objective = -1.23858614929, inputs = [1.00005, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 13 , objective = -0.0785150418084, inputs = [1.0, 1.00005, 1.0, 1.0], constraints = [-1.0]
iteration = 14 , objective = -0.301081331602, inputs = [1.0, 1.0, 1.00005, 1.0], constraints = [-1.0]
iteration = 15 , objective = -0.131736371765, inputs = [1.0, 1.0, 1.0, 1.00005], constraints = [-1.0]
iteration = 16 , objective = -0.962009236416, inputs = [1.59370396520535, 0.5004133001434639, 3.3332761334439738, 0.6114118337354739], constraints = [1.0]
iteration = 17 , objective = -0.961911978753, inputs = [1.59375396520535, 0.5004133001434639, 3.3332761334439738, 0.6114118337354739], constraints = [1.0]
iteration = 18 , objective = -0.96182693164, inputs = [1.59370396520535, 0.5004633001434639, 3.3332761334439738, 0.6114118337354739], constraints = [1.0]
iteration = 19 , objective = -0.961974438386, inputs = [1.59370396520535, 0.5004133001434639, 3.3333261334439737, 0.6114118337354739], constraints = [1.0]
iteration = 20 , objective = -0.961939454182, inputs = [1.59370396520535, 0.5004133001434639, 3.3332761334439738, 0.6114618337354739], constraints = [1.0]
iteration = 21 , objective = -0.962009236416, inputs = [1.59370396520535, 0.5004133001434639, 3.3332761334439738, 0.6114118337354739], constraints = [1.0]
