iteration = 26 , objective = -0.999842004379, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0], constraints = [675.29018535820921, 1.0, -1.0, 1.0, -1.0, 0.0, 0.17496959852418259, -2.5052807372775585, 0.64912912439842729, -78.0816533445918, 155.85837830304109]
iteration = 27 , objective = -0.999900194528, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0], constraints = [675.37837381999395, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 28 , objective = -0.999927648165, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005], constraints = [675.37665995548673, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 29 , objective = -1.0, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [675.37706493076496, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 30 , objective = -1.00013865574, inputs = [1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [675.37583091890463, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 31 , objective = -1.0, inputs = [1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [675.37748162706725, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.6494536889606265, -175.65344921170308, 105.99946805279117]
iteration = 32 , objective = -1.00003123103, inputs = [1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [675.37688594618817, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 33 , objective = -1.0001580746, inputs = [1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [674.59355196752745, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17484609505036616, -3.2178797598803621, 0.64912912439842729, -100.85730206514093, 113.78145997857018]
iteration = 34 , objective = -1.00009985534, inputs = [1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [675.37816451165395, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 35 , objective = -1.000072388, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [675.42881869652592, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
