iteration = 1 , objective = -0.165586270793, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 2 , objective = -0.304980824305, inputs = [1.000005, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 3 , objective = -0.0779475061455, inputs = [1.0, 1.000005, 1.0, 1.0], constraints = [1.0]
iteration = 4 , objective = -0.749552164353, inputs = [1.0, 1.0, 1.000005, 1.0], constraints = [-1.0]
iteration = 5 , objective = -0.445086094763, inputs = [1.0, 1.0, 1.0, 1.000005], constraints = [1.0]
iteration = 6 , objective = -0.165586270793, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 7 , objective = -0.304980824305, inputs = [1.000005, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 8 , objective = -0.0779475061455, inputs = [1.0, 1.000005, 1.0, 1.0], constraints = [1.0]
iteration = 9 , objective = -0.749552164353, inputs = [1.0, 1.0, 1.000005, 1.0], constraints = [-1.0]
iteration = 10 , objective = -0.445086094763, inputs = [1.0, 1.0, 1.0, 1.000005], constraints = [1.0]
iteration = 11 , objective = -0.165586270793, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 12 , objective = -0.304980824305, inputs = [1.000005, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 13 , objective = -0.0779475061455, inputs = [1.0, 1.000005, 1.0, 1.0], constraints = [1.0]
iteration = 14 , objective = -0.749552164353, inputs = [1.0, 1.0, 1.000005, 1.0], constraints = [-1.0]
iteration = 15 , objective = -0.445086094763, inputs = [1.0, 1.0, 1.0, 1.000005], constraints = [1.0]
iteration = 16 , objective = -0.233995477229, inputs = [1.552519656936056, 0.5271784873184515, 3.1522336163470754, 1.0244303121071425], constraints = [-1.0]
iteration = 17 , objective = -0.680044576805, inputs = [1.2762598968368688, 0.7635891851522418, 2.076117074491153, 1.0122151590765807], constraints = [-1.0]
iteration = 18 , objective = -0.183656602363, inputs = [1.1381304625749642, 0.8817941525840498, 1.53806054004304, 1.0061076022723312], constraints = [-1.0]
iteration = 19 , objective = -0.204348783479, inputs = [1.0690652493471513, 0.9408970608373709, 1.2690303403694734, 1.0030538019346953], constraints = [-1.0]
iteration = 20 , objective = -0.0801790444887, inputs = [1.03453266341325, 0.9704484972670118, 1.134515321087656, 1.0015269026802682], constraints = [-1.0]
iteration = 21 , objective = -0.152783890959, inputs = [1.0172662463502373, 0.9852243216776696, 1.067257328054505, 1.0007634475660003], constraints = [-1.0]
iteration = 22 , objective = -0.123928307752, inputs = [1.0086331103803152, 0.9926121717880532, 1.0336286141875666, 1.0003817232172627], constraints = [-1.0]
iteration = 23 , objective = -0.659886338385, inputs = [1.0043165135571872, 0.9963061215216532, 1.0168141449205876, 1.0001908597677802], constraints = [-1.0]
iteration = 24 , objective = -1.49290674587, inputs = [1.0021587508999714, 0.9981526379139389, 1.008408997214692, 1.000095451732053], constraints = [-1.0]
iteration = 25 , objective = -0.768319757947, inputs = [1.0010807036192308, 0.9990751823693681, 1.0042096722341332, 1.0000477845926052], constraints = [-1.0]
iteration = 26 , objective = -0.712126376135, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021071851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 27 , objective = -0.810006356612, inputs = [1.0005459548595756, 0.9995370751216068, 1.0021071851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 28 , objective = -0.337434826738, inputs = [1.0005409548595756, 0.9995420751216069, 1.0021071851817205, 1.0000239189608722], constraints = [1.0]
iteration = 29 , objective = -0.0931537007769, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021121851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 30 , objective = -0.773295240298, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021071851817205, 1.0000289189608722], constraints = [-1.0]
iteration = 31 , objective = -0.712126376135, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021071851817205, 1.0000239189608722], constraints = [-1.0]
