iteration = 1 , objective = -0.153009682596, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 2 , objective = -0.0778991800945, inputs = [1.00005, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 3 , objective = -0.0808916817774, inputs = [1.0, 1.00005, 1.0, 1.0], constraints = [-1.0]
iteration = 4 , objective = -0.614134370617, inputs = [1.0, 1.0, 1.00005, 1.0], constraints = [-1.0]
iteration = 5 , objective = -0.0778950996989, inputs = [1.0, 1.0, 1.0, 1.00005], constraints = [-1.0]
iteration = 6 , objective = -0.153009682596, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 7 , objective = -0.0778991800945, inputs = [1.00005, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 8 , objective = -0.0808916817774, inputs = [1.0, 1.00005, 1.0, 1.0], constraints = [-1.0]
iteration = 9 , objective = -0.614134370617, inputs = [1.0, 1.0, 1.00005, 1.0], constraints = [-1.0]
iteration = 10 , objective = -0.0778950996989, inputs = [1.0, 1.0, 1.0, 1.00005], constraints = [-1.0]
iteration = 11 , objective = -0.153009682596, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 12 , objective = -0.0778991800945, inputs = [1.00005, 1.0, 1.0, 1.0], constraints = [-1.0]
iteration = 13 , objective = -0.0808916817774, inputs = [1.0, 1.00005, 1.0, 1.0], constraints = [-1.0]
iteration = 14 , objective = -0.614134370617, inputs = [1.0, 1.0, 1.00005, 1.0], constraints = [-1.0]
iteration = 15 , objective = -0.0778950996989, inputs = [1.0, 1.0, 1.0, 1.00005], constraints = [-1.0]
iteration = 16 , objective = -2.07733212292, inputs = [0.8510670291607311, 0.5000030660219181, 3.3333137254685425, 0.6111143050272858], constraints = [-1.0]
iteration = 17 , objective = -0.149850383731, inputs = [0.9255272967349066, 0.749980658495075, 2.166754276920469, 0.8055409168128513], constraints = [-1.0]
iteration = 18 , objective = -0.0656758810541, inputs = [0.9627636585748834, 0.8749903635158642, 1.5833769785417395, 0.9027704850595132], constraints = [-1.0]
iteration = 19 , objective = -0.660817902424, inputs = [0.98138211145144, 0.9374961290373243, 1.2916840686437474, 0.951385979301084], constraints = [-1.0]
iteration = 20 , objective = -0.0747822344145, inputs = [0.9906894147502284, 0.9687425554449502, 1.145867743274135, 0.9756887048243491], constraints = [-1.0]
iteration = 21 , objective = -0.146210742701, inputs = [0.9953449601077946, 0.9843721261952113, 1.0729299121066254, 0.9878450123340405], constraints = [1.0]
iteration = 22 , objective = -0.148415464229, inputs = [0.9953949601077946, 0.9843721261952113, 1.0729299121066254, 0.9878450123340405], constraints = [1.0]
iteration = 23 , objective = -0.0842893651185, inputs = [0.9953449601077946, 0.9844221261952113, 1.0729299121066254, 0.9878450123340405], constraints = [-1.0]
